[SETTINGS]
#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
50	50	2576	464
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollisionObjects, 5= RECT, 6=PIPE NORMAL, 7= koopas xanh_bay, 8= koopas ??_b?, 9= koopas ??_bay, 10=Coin NORMAL, 11=Goomba red bay, 12= Fire Bullet,13= FLOWER RED,14=Flower Bullet, 15=COIN CAN MOVE, 16=Leaf ,17=Mushroom Red,18=Question Brick Have Leaf, 19=Mushroom Green ,20=Question Brick Just Have Mushroom , 21= FLOWER GREEN , 22= FLOWER GREEN CAN SHOOT , 23= BREAKABLE BRICK , 24=BELL
#	25=HUD PANEL , 26=MARIO_LUIGI_HUD , 27=LIFE, 28= MONEY, 29=SCORE , 30=TIME_PICKER , 31= WORLD , 32=STACK NORMAL, 33=STACK MAX, 34=ITEM , 35= black black , 36=special item
#	37=PIPE DOWN , 38= PIPE UP , 39= SCORE AND 1VP ,40= WORDS END SCENE COURSE CLEAR , 41=WORDS END SCENE YOU GOT A CARD , 42=WORDS END SCENE ITEM
#	43= GACH BE ANIMATION TYPE LEFT TOP, 44= GACH BE ANIMATION TYPE RIGHT TOP, 45= GACH BE ANIMATION TYPE RIGHT BOTTOM, 46= GACH BE ANIMATION TYPE LEFT BOTTOM
#Obj_type	index_col	index_row	ani_set
[OBJECTS]
#==== WORDS END SCENE 1			
40	2913	0	1140
41	2893	30	1140
42	3025	20	1140
#==== SPECIAL ITEMS	265		
36	2953	82	108
#==== END FINALBACKGROUND======			
#Gach ham			
#BRICK			
1	1465	1166	404
1	1481	1166	404
1	1497	1166	404
1	1513	1166	404
1	1529	1166	404
1	1545	1166	404
1	1561	1166	404
1	1577	1166	404
1	1593	1166	404
1	1609	1166	404
1	1625	1166	404
1	1641	1166	404
1	1657	1166	404
1	1673	1166	404
1	1689	1166	404
1	1705	1166	404
1	1721	1166	404
1	1737	1166	404
1	1753	1166	404
1	1769	1166	404
1	1785	1166	404
1	1801	1166	404
1	1817	1166	404
1	1833	1166	404
1	1849	1166	404
1	1865	1166	404
1	1881	1166	404
1	1897	1166	404
1	1913	1166	404
1	1929	1166	404
1	1945	1166	404
1	1961	1166	404
#BRICK 2			
1	1465	1150	404
1	1481	1150	404
1	1497	1150	404
1	1513	1150	404
1	1529	1150	404
1	1545	1150	404
1	1561	1150	404
1	1577	1150	404
1	1593	1150	404
1	1609	1150	404
1	1625	1150	404
1	1641	1150	404
1	1657	1150	404
1	1673	1150	404
1	1689	1150	404
1	1705	1150	404
1	1721	1150	404
1	1737	1150	404
1	1753	1150	404
1	1769	1150	404
1	1785	1150	404
1	1801	1150	404
1	1817	1150	404
1	1833	1150	404
1	1849	1150	404
1	1865	1150	404
1	1881	1150	404
1	1897	1150	404
1	1913	1150	404
1	1929	1150	404
1	1945	1150	404
1	1961	1150	404
# BRICK 3			
1	1465	1134	404
1	1481	1134	404
1	1497	1134	404
1	1513	1134	404
1	1529	1134	404
1	1545	1134	404
1	1561	1134	404
1	1577	1134	404
1	1593	1134	404
1	1609	1134	404
1	1625	1134	404
1	1641	1134	404
1	1657	1134	404
1	1673	1134	404
1	1689	1134	404
1	1705	1134	404
1	1721	1134	404
1	1737	1134	404
1	1753	1134	404
1	1769	1134	404
1	1785	1134	404
1	1801	1134	404
1	1817	1134	404
1	1833	1134	404
1	1849	1134	404
1	1865	1134	404
1	1881	1134	404
1	1897	1134	404
1	1913	1134	404
1	1929	1134	404
1	1945	1134	404
1	1961	1134	404
#BRICK 4			
1	1465	1118	404
1	1481	1118	404
1	1497	1118	404
1	1513	1118	404
1	1529	1118	404
1	1545	1118	404
1	1561	1118	404
1	1577	1118	404
1	1737	1118	404
1	1753	1118	404
1	1769	1118	404
1	1785	1118	404
1	1801	1118	404
1	1817	1118	404
1	1833	1118	404
1	1849	1118	404
1	1865	1118	404
1	1881	1118	404
1	1897	1118	404
1	1913	1118	404
1	1929	1118	404
1	1945	1118	404
1	1961	1118	404
#BRICK 5 	265		
1	1465	1102	404
1	1481	1102	404
1	1497	1102	404
1	1513	1102	404
1	1529	1102	404
1	1545	1102	404
1	1561	1102	404
1	1577	1102	404
1	1753	1102	404
1	1769	1102	404
1	1785	1102	404
1	1801	1102	404
1	1817	1102	404
1	1833	1102	404
1	1849	1102	404
1	1865	1102	404
1	1881	1102	404
1	1897	1102	404
1	1913	1102	404
1	1929	1102	404
1	1945	1102	404
1	1961	1102	404
#BRICK 6	265		
1	1465	1086	404
1	1481	1086	404
1	1497	1086	404
1	1513	1086	404
1	1529	1086	404
1	1545	1086	404
1	1561	1086	404
1	1577	1086	404
1	1769	1086	404
1	1785	1086	404
1	1801	1086	404
1	1817	1086	404
1	1833	1086	404
1	1849	1086	404
1	1865	1086	404
1	1881	1086	404
1	1897	1086	404
1	1913	1086	404
1	1929	1086	404
1	1945	1086	404
1	1961	1086	404
#BRICK 7	265		
1	1465	1070	404
1	1481	1070	404
1	1497	1070	404
1	1513	1070	404
1	1529	1070	404
1	1545	1070	404
1	1561	1070	404
1	1577	1070	404
1	1785	1070	404
1	1801	1070	404
1	1817	1070	404
1	1833	1070	404
1	1849	1070	404
1	1865	1070	404
1	1881	1070	404
1	1897	1070	404
1	1913	1070	404
1	1929	1070	404
1	1945	1070	404
1	1961	1070	404
#BRICK 8	265		
1	1465	1054	404
1	1481	1054	404
1	1497	1054	404
1	1513	1054	404
1	1529	1054	404
1	1545	1054	404
1	1561	1054	404
1	1577	1054	404
1	1801	1054	404
1	1817	1054	404
1	1833	1054	404
1	1849	1054	404
1	1865	1054	404
1	1881	1054	404
1	1897	1054	404
1	1913	1054	404
1	1929	1054	404
1	1945	1054	404
1	1961	1054	404
1	1465	1038	404
1	1481	1038	404
1	1497	1038	404
1	1513	1038	404
1	1529	1038	404
1	1545	1038	404
1	1561	1038	404
1	1577	1038	404
#1	1833	1038	404
1	1849	1038	404
1	1865	1038	404
1	1881	1038	404
1	1897	1038	404
1	1913	1038	404
1	1929	1038	404
1	1945	1038	404
1	1961	1038	404
1	1465	1022	404
1	1481	1022	404
1	1497	1022	404
1	1513	1022	404
1	1529	1022	404
1	1545	1022	404
1	1561	1022	404
1	1577	1022	404
#1	1833	1022	404
1	1849	1022	404
1	1865	1022	404
1	1881	1022	404
1	1897	1022	404
1	1913	1022	404
1	1929	1022	404
1	1945	1022	404
1	1961	1022	404
1	1465	1006	404
1	1481	1006	404
1	1497	1006	404
1	1513	1006	404
1	1529	1006	404
1	1545	1006	404
1	1561	1006	404
1	1577	1006	404
#1	1833	1006	404
1	1849	1006	404
1	1865	1006	404
1	1881	1006	404
1	1897	1006	404
1	1913	1006	404
1	1929	1006	404
1	1945	1006	404
1	1961	1006	404
1	1465	990	404
1	1481	990	404
1	1497	990	404
1	1513	990	404
1	1529	990	404
1	1545	990	404
1	1561	990	404
1	1577	990	404
1	1625	990	404
1	1641	990	404
1	1657	990	404
1	1673	990	404
1	1689	990	404
1	1705	990	404
1	1721	990	404
1	1737	990	404
1	1753	990	404
1	1769	990	404
1	1785	990	404
1	1801	990	404
1	1849	990	404
1	1865	990	404
1	1881	990	404
1	1897	990	404
1	1913	990	404
1	1929	990	404
1	1945	990	404
1	1961	990	404
#coin	265		
10	1689	1010	209
10	1705	1010	209
10	1673	1026	209
10	1721	1026	209
10	1721	1042	209
10	1689	1058	209
10	1705	1058	209
10	1721	1074	209
10	1673	1090	209
10	1721	1090	209
10	1689	1106	209
10	1705	1106	209
############	265		
#==== DONG TIEN	265		
#==== DONG TIEN CHEO	265		
10	1337	54	209
10	1370	23	209
10	1402	-9	209
10	1434	-41	209
10	1466	-73	209
#==== 3 HANG DONG TIEN	265		
#==== HANG 1	265		
10	1594	-185	209
10	1610	-185	209
10	1626	-185	209
#==== HANG 2	265		
10	1738	-153	209
10	1754	-153	209
10	1882	-153	209
10	1898	-153	209
10	1914	-153	209
10	1930	-153	209
10	1994	-153	209
#==== HANG 3	265		
10	1802	-137	209
10	1818	-137	209
10	1834	-137	209
10	1850	-137	209
10	2027	-137	209
10	2106	-137	209
#==== 2 CUC DONG TIEN LE	265		
#====  CUC DONG TIEN LE TREN	265		
10	2074	-169	209
#====  CUC DONG TIEN LE DUOI	265		
10	1962	-121	209
#==== GACH B? ???C ====	265		
23	2217	134	403
23	2232	134	403
23	2247	134	403
23	2262	134	403
23	2277	134	403
23	2292	134	403
23	2307	134	403
23	2352	134	403
23	2367	134	403
23	2232	118	403
23	2247	118	403
23	2262	118	403
23	2277	118	403
23	2292	118	403
23	2352	118	403
23	2247	102	403
